"44ac0368-ecfe-11ed-a05b-0242ac120003","364 345 555","adam1","Adam","adam1@gmail.com","Spinka","haslo1","assistant"
"44ac06b0-ecfe-11ed-a05b-0242ac120003","+48 501501501","karolina.nowak","Karolina","karolina.nowak@gmail.com","Nowak","cat","admin"
"44ac0f48-ecfe-11ed-a05b-0242ac120003","+48 502502502","krzysztof.adamczyk","Krzysztof","krzysztof.adamczyk@gmail.com","Adamczyk","dog","admin"
"44ac1268-ecfe-11ed-a05b-0242ac120003","+48 503503503","agnieszka.wójcik","Agnieszka","agnieszka.wojcik@gmail.com","Wójcik","hamster","assistant"
"44ac140c-ecfe-11ed-a05b-0242ac120003","+48 504504504","bartosz.kozłowski","Bartosz","bartosz.kozlowski@gmail.com","Kozłowski","lion","assistant"
"44ac157e-ecfe-11ed-a05b-0242ac120003","+48 505505505","maria.lewandowska","Maria","maria.lewandowska@gmail.com","Lewandowska","parrot","assistant"
"44ac172c-ecfe-11ed-a05b-0242ac120003","+48 506506506","andrzej.piotrowski","Andrzej","andrzej.piotrowski@gmail.com","Piotrowski","rabbit","assistant"
"44ac18bc-ecfe-11ed-a05b-0242ac120003","+48 507507507","anna.jakubowska","Anna","anna.jakubowska@gmail.com","Jakubowska","tiger","assistant"
"44ac1a42-ecfe-11ed-a05b-0242ac120003","+48 508508508","kamil.nowicki","Kamil","kamil.nowicki@gmail.com","Nowicki","zebra","assistant"
"44ac1c22-ecfe-11ed-a05b-0242ac120003","+48 509509509","patryk.adamski","Patryk","patryk.adamski@gmail.com","Adamski","elephant","assistant"
